date,comment,link
2024-12-10,"대전 곳곳의 아름다움을 잘 보여주셔서 감사합니다.
대전의 가을 무척 아름답네요~ 특히 하늘에서 내려다보니까
색다르고 더 아름답게 느껴지네요",https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-10,하늘에서 본 대전 정말 멋있어요 ! 꼭 가보고 싶어요 !,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-10,하늘에서 본 대전 정말 멋지네요! 영상보니 대전 여행하고 싶어요~,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-10,땅에서 보는 것과 다르게 이렇게 하늘에서 내려다본 대전 단풍이 물들어서 그런지 더욱 더 아름답네요,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-10,장태산 자연휴양림이 정말 아름답고 멋지네요. 가족들과 함께 자연을 몸소 느끼러 가면 힐링되고 좋을 것 같아요.,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-10,단풍과 어우러진 대전의 풍광이 너무 아름답네요~,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-09,대전에 명소들이 많네요~ 좋은 영상 감사합니다!,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-09,대전의 멋진 가을풍경 구경 잘 했어요^^,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-09,"하늘에서 본 가을을 모습을 가득 담고 있는 대전의  멋진 풍경 너무 멋집니다. 엑스포 공원부터 시작해서 한밭수목원, 장태산 자연휴양림까지 다음에 꼭 방문해보겠습니다",https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-09,하늘에서 내려다본 대전 너무 멋지고 아름답네요~~ 대전의 매력을 잘 느낄 수 있었습니다.,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-09,"하늘에서 본 대전! 
대전이 이렇게 멋진 곳인줄 몰랐습니다. 정말 경치가 너무 멋집니다. 
성심당에 들르고 대전구경하고 싶습니다.",https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-09,LX 대전세종충남지역본부의 장수빈 대리가 알려주는 대전의 힐링 스팟 모두 가보고 싶어요^^,https://www.youtube.com/watch?v=5qrLGHlLRtg
2024-12-01,농업인의 날입니다. 하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=7DkgRUEzNgk
2024-12-10,영상 잘봤습니다~LX한국국토정보공사를 진심으로 응원합니다^^,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-10,LX화이팅,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-10,사물주소 ! 너무 유용해요 ! 좋은 영상 감사합니다〰️,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-10,"사물주소, 국가지점번호 꼭 기억해야겠어요!!
유익한 정보 감사합니다~~",https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-10,"사물주소라는 걸 이번 영상을 통해 알게 되었습니다 
사람일은 모르기 때문에 비상사태 시 사물주소 꼭 기억해야겠어요",https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-10,사물주소  아이디어 좋습니다  ❤❤,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,사물주소 뭔지 알기 쉬워서 좋아요!,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,사물주소를 알고 있으면 유용하네요 좋은 영상 감사합니다!,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,"육교 승강기, 자전거 보관소, 공터 등에 적힌 사물주소에 새로 알게 되어 좋았습니다!",https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,사물주소가 위급 상황에서 얼마나 중요한지 알게 되었어요. 엘리베이터나 공터 같은 곳에서도 빠르게 대처할 수 있다는 점이 정말 실용적이네요. 영상을 통해 쉽게 배울 수 있어서 너무 좋았습니다!,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,너무 유익한 사물주소! 유익한 영상 너무 감사합니다!,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,"사물주소 진짜 많은 도움이 되었습니다.
살다보면 위급상황에 직면할 수 있는데 
위급한 상황에 바로 대비할 수 있어서 정말 좋은 것 같습니다",https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,"다중이 이용하는 시설물인 육교 승강기, 자전거 보관소, 공터 등에 부여된 주소인 사물주소에 대해 자세히 알아가는 유익한 시간이었어요 😊",https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,알아두면 유익한 사물주소정보 잘 배우고 갑니다.,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,알아두면 정말 알찬 사물주소 유익하게 봤어요,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-12-09,알아두면 쓸모있는 사물주소 유익하게 잘 알아갑니다  응원합니다 화이팅,https://www.youtube.com/watch?v=NeDhZWEevuQ
2024-10-22,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=mr2s1YtSrac
2024-10-22,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=68hZn_lgKn4
2024-10-11,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=zDjKux-Td3U
2024-09-16,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=P2LUlC0V3FY
2024-09-29,"고 고흥으로 고 
흥 흥이 절로 납니다!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고민하지말고 
흥이 절로나는 고흥으로🧡",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고 고요한 자연속 
흥 흥이 넘치는 고흥",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고 고요한 자연속 
흥 흥이 넘치는 고흥",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고 고흥으로 먹고 즐기러 
흥 흥나게 여행가자",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고 고민 없이
흥 흥겹게 즐길수있는 고흥으로 놀러오세요!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고 고흥으로 고 
흥 흥이 절로 납니다!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고즈넉한 풍경에 
흥흥 콧노래가 절로 나는구나^^",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고흥에서.
흥이 나게 놀자꾸나.",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고 고흥에서 느끼는 
흥 흥겨운 도시 !
다들 놀러와!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-29,"고 
흥우도에서 흥 겨운 여행하세요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고흥에서 이 영상을 봤다.
흥분된다.",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 - 고고싱!
흥 - 흥이 나는 고흥으로!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고흥에 놀러 가니
흥이 절로 넘치네",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 - 고고씽~~~고흥으로 
흥 - 흥나는 여행이 될거라규",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥에는 
흥 흥나는것들이많답니다 놀러오세요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥의 풍경을 보니 
흥 흥미로운 고흥으로 여행을 떠나고 싶어라",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 기 가봤어? 
흥 미진진한 곳이 다 모여있대~~~
고~흥!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥에서 느끼는 
흥 흥겨운 도시 !
다들 놀러와!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고흥군에 가면 
흥이 나요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥에는 
흥 흥나는것들이많답니다 놀러오세요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고 
흥 넘치는 고흥으로~",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 - 고고씽~~~고흥으로 
흥 - 흥나는 여행이 될거라규",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥에 가면 
흥 흥이 절로 넘치는 이 기분은 뭘까",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 - 고것 참 
흥 - 흥이 나는구나!
역시 고흥이로구나!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고흥에 가면/
흥이 절로 나네요~~
모두 고흥으로 고고고",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥군
흥 흥이넘치네",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고민하지말고 
흥이 절로나는 고흥으로🧡",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥에서 느끼는 
흥 흥겨운 도시 !
다들 놀러오세요~",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고흥에 놀러오세요
흥하는 여행 보장합니다!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고흥에 가면/
흥이 절로 나네요~~
모두 고흥으로 고고고",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고민할 필요 업어요 
흥겨운 고흥 가서 즐거운 시간 보내요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고흥에서.
흥이 나게 놀자꾸나.",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고백하기 좋은 
흥미로운 인연이 시작되는 고흥😁",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥에 가본 사람은 
흥 흥이 엄청나게 나는 도시인 걸 알지",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 - 고고싱!
흥 - 흥이 나는 고흥으로!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고민할 필요 있겠는가? 
흥이 절로나는 고흥으로 떠나보세🎉",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-28,"고 고흥에 가면 
흥 흥이 절로 넘치는 이 기분은 뭘까",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-27,"고고! 고흥으로
흥 흥이 넘친다~",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-27,"고백하기 좋은
흥미로운 인연이 시작되는 고흥😁",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-27,"고흥군에 가면
흥이 나요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-27,"고 - 고흥의 이곳저곳을 드론으로 보니
흥 - 흥미진진한게 고흥으로 여행떠나고파요 !",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-26,"고 고흥으로 고
흥 흥이 절로 납니다!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-26,"고 - 고흥 풍경을 바라보니 
흥 - 흥이 자연스럽게 차오릅니다!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-26,"고 흥우도에서
흥 겨운 여행하세요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-26,"고 - 고흥에는 
흥 - 흥미로운 명소들이 참 많네요. 유익한 영상 감사합니다",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-26,"고 고요한 바다와 산이 있고
흥 흥미로운 이야깃거리가 가득한 고흥으로 오세요~",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-26,고흥에서. 흥이 나게 놀자꾸나.,https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-26,"고 - 고고싱!
흥 - 흥이 나는 고흥으로!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-25,"고 고흥의 풍경을 보니
흥 흥미로운 고흥으로 여행을 떠나고 싶어라",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-24,"고민할 필요 있겠는가?
흥이 절로나는 고흥으로 떠나보세🎉",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-24,"고 고요한 자연속
흥 흥이 넘치는 고흥",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-24,"고 고요한 바다와 푸른 산 그러나 뻔하지 않은 고흥!
흥 흥미로운 그곳 고흥으로 가을 여행을 떠나봐요~",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-24,"고 - 고흥의 아름다움과 다양한 명소들을 
흥 - 흥겹게 즐겨보자~",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-24,"고 고흥에서 느끼는
흥 흥겨운 도시 ! 다들 놀러와!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-23,"고 고퀄리티 지역인 고흥에서 
흥 흥나는 인생 삽시다!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-23,"고민하지말고
흥이 절로나는 고흥으로🧡",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-22,"고 - 고것 참
흥 - 흥이 나는구나! 역시 고흥이로구나!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-20,"고 고흥으로 먹고 즐기러
흥 흥나게 여행가자",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-20,"고 고흥에서 느끼는
흥 흥겨운 도시 ! 다들 놀러와!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-18,"고 고흥에서 느끼는
흥 흥겨운 도시 ! 다들 놀러오세요~",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-17,"고 고흥에 가면
흥 흥이 절로 넘치는 이 기분은 뭘까",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-16,"고 고흥에 가본 사람은
흥 흥이 엄청나게 나는 도시인 걸 알지",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-15,"고흥에 놀러오세요
흥하는 여행 보장합니다!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-15,"고흥에서 이 영상을 봤다.
흥분된다.",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-15,"고즈넉한 풍경에
흥흥 콧노래가 절로 나는구나^^",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-15,"고 고
흥 넘치는 고흥으로~",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-14,고기 먹여줄게 / 흥분하지마,https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-14,"고민할 필요 업어요
흥겨운 고흥 가서 즐거운 시간 보내요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-14,"고-고생하며 고흥우주발사 전망대 도착
흥-흥미로운 다도해 절경을 감상하니 기분 좋다",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-13,"고 / 고흥에 놀러오셔서
흥 / 흥하는 곳 고흥의 진가를 느껴보세요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-13,"고흥만큼 아름다운 곳이 또 있을까
흥미로운 여행지, 가슴 뛰는 곳",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-13,"고흥이 세계적인 관광지인줄 알았네요. ㅎㅎ 
흥미롭고 아름다운 풍경에  매료되었습니다.",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-13,"고개를 넘어간다 오늘도 
흥이 넘치도록 국민의 토지를 측량하러 가세❤",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-13,고흥의 아름다운  추억도 남기면서 흥미넘치는  체험프로그램도 해볼래요,https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-13,"고 기 가봤어?
흥 미진진한 곳이 다 모여있대~~~ 고~흥!",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-13,"고 고흥에는
흥 흥나는것들이많답니다 놀러오세요",https://www.youtube.com/watch?v=5jh8CWU3FMQ
2024-09-08,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=5kl8PTwjcUA
2024-09-08,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=qpWm2kIuyTY
2024-08-02,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=rPkAiNxlsgg
2024-08-02,좋은정보 감사합니다.,https://www.youtube.com/watch?v=rPkAiNxlsgg
2024-08-01,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=chYO4xnELr0
2024-08-06,완주 축하드립니다 김유로 선수!,https://www.youtube.com/watch?v=eLvGTuq9WCU
2024-08-03,김유로 선수! 완주 축하합니다!!,https://www.youtube.com/watch?v=eLvGTuq9WCU
2024-07-29,김유로 선수 화이팅!,https://www.youtube.com/watch?v=eLvGTuq9WCU
2024-07-27,중계 없나요 ?,https://www.youtube.com/watch?v=eLvGTuq9WCU
2024-08-01,하윤님은 언제나 사랑입니다❤,https://www.youtube.com/watch?v=XaSMBICltUc
2024-07-05,"좋은정보감사합니다.
LX창사47주년 축하합니다.",https://www.youtube.com/watch?v=XaSMBICltUc
2024-07-05,"공유재산 실태조사
LX한국국토정보공사의 미래를 응원합니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사 
LX한국국토정보공사 항상 응원합니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사  LX한국국토정보공사의 앞으로도 다양한 활동과 행보 응원합니다,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사입니다 
LX한국국토정보공사의 다양한 업무 잘알고 갑니다 앞으로도 화이팅입니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사
응원해요",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사
LX한국국토정보공사 국민을 위해 일해주셔서 감사하고 응원합니다.",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사 
LX한국국토정보공사 국민을 위해 일해주셔서 감사하고 응원합니다.",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사 
한국국토정보공사 좋은 소식 잘 들었고 응원합니다. 💙",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사~
항상 유익한 영상 감사합니다❤",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사!
응원합니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사
LX한국국토정보공사 파이팅",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사입니다
응원합니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산실태조사🎉,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사
한국국토정보공사 좋은 소식 감사합니다. 항상 응원합니다!",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사❤,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"잘보고가요
공유재산 실태조사",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사!!
영상이 멋있습니다.",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사!
LX한국국토정보공사 응원합니다!! 앞으로도 국가의 발전을 위해 힘써주세요😊",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사
오늘도 좋은정보 감사드립니다!",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산실태조사🎉,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사 / LX한국국토정보공사 고맙습니다 응원합니다!,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유자산 실태조사! LX한국국토정보공사의 사업을 응원합니다!,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,공유재산 실태조사,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"답 - 공유재산 실태조사
국토정보 전문가로서 헌신하고 봉사하는 한국국토정보공사 직원 여러분!
항상 감사합니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사
LX한국국토정보공사 국민을 위해 힘써주셔서 감사해용",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-05,"공유재산 실태조사
멋집니당 꼼꼼한 조사 기대하겠습니당",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,"공유재산 실태조사
너무나 공감되는영상이에요",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,"공유재산 실태조사!!
영상이 멋있습니다.",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,"공유재산 실태조사
국민중심의 업무를 추진하는 LX한국국토정보공사의 행보를 응원합니다❤",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,"점답 공유재산 실태조사❤
LX한국국토정보공사  멋진행보 앞으로도 기대하며 항상 응원하겠습니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,"공유재산실태조사
숨겨진 공유재산 샅샅이 드러내주새요",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,공유재산 실태조사  LX한국국토정보공사 힘차게 응원합니다,https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,"공유재산 실태조사
LX한국국토정보공사의 청렴하고 공정한 업무를 응원합니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,"공유재산 실태조사
국민중심의 업무를 추진하는 LX한국국토정보공사의 행보를 응원합니다",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,"공유재산 실태조사❤
LX한국국토정보공사의 공정한 공유재산 관리를 응원합니다❤",https://www.youtube.com/watch?v=aT3GmukO6jw
2024-07-04,공유재산 실태조사,https://www.youtube.com/watch?v=aT3GmukO6jw
